number,city,years,under 2,2~4,4 ~ 6,6 ~ 8,8 ~ 10,10 ~ 12,over 12
0,전체,2022,11.2,25.8,30.8,16.1,5.5,7.0,3.7
1,서울,2022,11.0,28.0,26.9,17.8,5.6,7.0,3.7
5,부산,2022,11.9,26.3,30.1,16.2,5.4,6.6,3.6
3,대구,2022,12.6,25.6,29.2,17.2,4.9,7.4,3.2
7,인천,2022,10.3,27.7,29.0,16.6,6.1,6.6,3.7
2,광주,2022,11.1,25.0,33.8,13.9,5.5,7.0,3.7
4,대전,2022,10.4,24.7,32.8,15.5,5.4,7.3,3.9
6,울산,2022,12.4,23.2,34.0,13.6,4.6,8.5,3.7
17,세종,2022,11.2,24.2,34.6,13.6,5.3,7.3,3.8
9,경기,2022,12.5,23.3,32.0,14.8,6.0,7.0,4.6
8,강원,2022,11.1,25.8,30.3,16.2,5.7,6.9,4.1
15,충북,2022,11.2,24.4,31.8,16.7,5.4,6.9,3.7
14,충남,2022,12.0,24.2,33.3,15.2,5.4,7.0,3.0
13,전북,2022,10.5,24.6,33.1,14.6,6.8,7.4,2.9
12,전남,2022,11.5,24.2,33.7,14.7,5.3,7.1,3.5
11,경북,2022,12.0,23.8,33.0,14.7,5.6,7.4,3.5
10,경남,2022,10.3,23.6,35.0,15.8,4.7,7.3,3.4
16,제주,2022,11.2,24.1,34.6,14.4,4.6,7.1,4.0
,,,,,,,,,
