"구분(1)",2022,2022,2022,2022,2022,2022,2022
"구분(1)",출퇴근,등하교,업무,쇼핑,여가,학원,기타
"전체",19.2,11.2,19.6,21.6,26.6,1.4,0.5
"서울",19.5,9.6,20.2,22.5,26.6,1.3,0.4
"부산",18.9,10.2,18.7,23.0,27.2,1.6,0.5
"대구",19.1,10.2,20.6,21.9,26.5,1.4,0.3
"인천",18.7,10.9,18.8,22.1,27.5,1.4,0.6
"광주",19.2,12.7,20.1,21.0,25.3,1.2,0.6
"대전",19.2,13.3,18.5,20.7,26.3,1.5,0.4
"울산",21.1,12.6,18.7,19.6,26.5,1.0,0.4
"세종",19.4,11.7,20.0,20.9,26.0,1.4,0.7
"경기",19.5,15.3,18.4,17.9,27.6,1.1,0.2
"강원",19.1,11.5,19.5,21.7,26.4,1.4,0.5
"충북",19.4,12.0,19.5,20.7,27.0,1.2,0.3
"충남",19.7,12.9,19.2,21.1,25.6,1.1,0.4
"전북",18.5,12.4,19.8,20.7,26.9,1.2,0.4
"전남",19.2,12.2,19.6,20.7,26.4,1.2,0.6
"경북",19.2,10.5,19.3,21.0,27.8,1.4,0.7
"경남",18.7,12.0,19.7,20.9,26.9,1.4,0.5
"제주",19.8,11.9,19.3,21.0,26.1,1.5,0.5
